year,month,exports_rupees,exports_usd,exports_oil_rupees,exports_oil_usd,exports_nonoil_rupees,exports_nonoil_usd,imports_rupees,imports_usd,imports_oil_rupees,imports_oil_usd,imports_nonoil_rupees,imports_nonoil_usd,trade_balance_rupees,trade_balance_usd,trade_balance_oil_rupees,trade_balance_oil_usd,trade_balance_nonoil_rupees,trade_balance_nonoil_usd,date,trade_openness,import_cover_ratio,exports_growth_yoy,imports_growth_yoy
,2015-06-01,142560.8557,22323.722676,19111.1657,2992.633298,123449.69,19331.089378,214164.7353,33536.23371,55514.5685,8693.072343,158650.1668,24843.161367,-71603.8796,-11212.511034,-36403.4028,-5700.439045,-35200.4767,-5512.071989,2015-06-01,356725.591,0.6656598038902252,-7.943031419032387,-6.511557943253765
,2015-07-01,148149.9487,23281.205117,20337.0851,3195.896143,127812.8636,20085.308974,231453.6668,36372.069889,60364.9392,9486.122296,171088.7275,26885.947593,-83303.718,-13090.864772,-40027.8541,-6290.226153,-43275.8639,-6800.638619,2015-07-01,379603.6155,0.6400846905917328,-4.447423801102513,-3.818590025648627
,2015-08-01,140443.4394,21582.676479,18436.6432,2833.255187,122006.7962,18749.421292,221126.9241,33981.728683,47943.6439,7367.750003,173183.2802,26613.97868,-80683.4847,-12399.052204,-29507.0007,-4534.494816,-51176.484,-7864.557388,2015-08-01,361570.3635,0.6351259122859567,-14.024680339894235,-3.095794513932215
,2015-09-01,144820.4088,21870.31423,17132.8535,2587.348635,127687.5553,19282.965595,212138.2945,32036.445496,44217.4421,6677.576429,167920.8524,25358.869067,-67317.8857,-10166.131266,-27084.5886,-4090.227794,-40233.2971,-6075.903472,2015-09-01,356958.7033,0.6826698081142536,-17.63920285260234,-19.583395142675663
,2015-10-01,139589.165,21456.110713,16474.4825,2532.276208,123114.6825,18923.834505,202644.7969,31148.328745,44683.6769,6868.283204,157961.12,24280.045541,-63055.6319,-9692.218032,-28209.1944,-4336.006996,-34846.4375,-5356.211036,2015-10-01,342233.9619,0.6888366596892378,-12.189341982327884,-16.30026299239996
,2015-11-01,129331.1116,19560.91709,15396.4704,2328.66692,113934.6412,17232.25017,197666.3593,29896.404965,42694.2855,6457.374189,154972.0738,23439.030776,-68335.2477,-10335.487875,-27297.8151,-4128.707269,-41037.4325,-6206.780606,2015-11-01,326997.4709,0.654289946240741,-20.91529102516121,-25.017234594146544
2015.0,2015-12-01,150461.5668,22593.353382,17029.5599,2557.163748,133432.007,20036.189634,227067.2802,34096.490036,44423.2597,6670.609842,182644.0205,27425.880194,-76605.7134,-11503.136654,-27393.6999,-4113.446094,-49212.0135,-7389.69056,2015-12-01,377528.847,0.662629889552885,-8.390395564721953,2.4085477332269623
,2016-01-01,142568.3227,21199.025451,14039.891,2087.644736,128528.4317,19111.380715,194134.0584,28866.530777,33991.2867,5054.293567,160142.7716,23812.23721,-51565.7357,-7667.505326,-19951.3958,-2966.648831,-31614.3399,-4700.856495,2016-01-01,336702.3811,0.7343807875599431,-6.15911246873303,-3.3072573836950614
,2016-02-01,142246.4273,20845.724216,13192.7713,1933.355219,129053.6561,18912.368997,187100.8127,27418.979994,32755.4688,4800.201182,154345.3439,22618.778812,-44854.3854,-6573.255778,-19562.6976,-2866.845963,-25291.6878,-3706.409815,2016-02-01,329347.24,0.7602662182343369,4.184933979187266,4.991691456017633
,2016-03-01,153558.8507,22911.742382,14665.8761,2188.22147,138892.9746,20723.520912,183038.6916,27310.280823,32321.9347,4822.593014,150716.7569,22487.687809,-29479.8409,-4398.538441,-17656.0586,-2634.371544,-11823.7824,-1764.166897,2016-03-01,336597.5423,0.8389420256323555,2.309162666717257,-17.271264525335805
,2016-04-01,138678.4573,20863.472334,13615.7284,2048.417456,125062.7289,18815.054878,170754.6783,25689.177558,37994.3791,5716.062114,132760.2993,19973.115444,-32076.221,-4825.705224,-24378.6507,-3667.644658,-7697.5703,-1158.060566,2016-04-01,309433.13560000004,0.8121502654021281,-0.17250667802285458,-18.790356793388373
,2016-05-01,149918.031,22407.028245,14218.6193,2125.141332,135699.4118,20281.886913,189253.8534,28286.233407,40119.4676,5996.330355,149134.3858,22289.903052,-39335.8224,-5879.205162,-25900.8484,-3871.189023,-13434.974,-2008.016139,2016-05-01,339171.8844,0.7921531229440214,4.300811755174205,-9.66656552423707
,2016-06-01,152465.0535,22655.583607,17504.1176,2601.028827,134960.9358,20054.55478,208061.9136,30917.01308,49068.5933,7291.360108,158993.3203,23625.652972,-55596.8601,-8261.429473,-31564.4756,-4690.331281,-24032.3845,-3571.098192,2016-06-01,360526.9671,0.7327869424152024,6.947347328527598,-2.849592250307331
,2016-07-01,145788.546,21692.270863,17292.0955,2572.937503,128496.4505,19119.33336,196953.5395,29305.248157,45854.0552,6822.748504,151099.4842,22482.499653,-51164.9934,-7612.977294,-28561.9598,-4249.811001,-22603.0337,-3363.166293,2016-07-01,342742.08550000004,0.7402179537880302,-1.5939274503441014,-14.90584607147818
,2016-08-01,144570.0315,21597.086255,16655.5675,2488.148651,127914.4639,19108.937604,196154.4415,29303.198987,45448.4702,6789.474433,150705.9713,22513.724554,-51584.41,-7706.112732,-28792.9027,-4301.325782,-22791.5073,-3404.78695,2016-08-01,340724.473,0.737021453067633,2.938259072570104,-11.293279957490265
,2016-09-01,151955.5421,22769.070768,17178.2872,2574.000486,134777.2549,20195.070282,212496.0505,31840.481481,46124.1471,6911.258111,166371.9034,24929.22337,-60540.5083,-9071.410713,-28945.8598,-4337.257625,-31594.6485,-4734.153088,2016-09-01,364451.5926,0.715098194730918,4.926883827440198,0.16864281898900657
,2016-10-01,155926.7293,23360.614495,18529.0904,2775.989352,137397.6389,20584.625143,230246.8057,34495.092014,48467.0231,7261.227439,181779.7826,27233.864575,-74320.0764,-11134.477519,-29937.9327,-4485.238087,-44382.1437,-6649.239432,2016-10-01,386173.53500000003,0.677215602735287,11.704034693523656,13.620882066673978
,2016-11-01,135699.473,20066.25774,16440.0784,2431.040042,119259.3946,17635.217698,226288.2051,33461.865209,46419.986,6864.252204,179868.2191,26597.613005,-90588.7321,-13395.607469,-29979.9076,-4433.212162,-60608.8245,-8962.395307,2016-11-01,361987.6781,0.5996754136612311,4.924075360688374,14.479877052098855
2016.0,2016-12-01,163344.4468,24056.477749,19605.8325,2887.439903,143738.6143,21169.037846,234952.1544,34602.469917,52059.2749,7667.00564,182892.8795,26935.464277,-71607.7076,-10545.992168,-32453.4424,-4779.565737,-39154.2652,-5766.426431,2016-12-01,398296.60120000003,0.6952242988243057,8.562239696150776,3.4724836590525276
,2017-01-01,152202.6979,22356.316704,18700.2292,2746.786025,133502.4688,19609.530679,219635.1272,32261.139355,55648.6762,8173.964337,163986.451,24087.175018,-67432.4293,-9904.822651,-36948.447,-5427.178312,-30483.9823,-4477.644339,2017-01-01,371837.8251,0.6929797607529512,6.757725010396021,13.135803686469472
,2017-02-01,165855.6352,24384.971731,17034.1321,2539.546043,148821.5031,22187.2,229723.1046,34248.437052,51781.2109,7719.839727,177941.8936,26528.597325,-63867.4694,-9863.465321,-34747.0789,-5180.293684,-29120.3905,-4683.171637,2017-02-01,395578.7398,0.7219806448671859,16.59739956083943,22.78038843601451
,2017-03-01,193028.9098,28892.798379,24735.2553,3754.780562,168293.6545,25546.8,263155.493,39946.672104,64231.8831,9750.318865,198923.6099,30196.353239,-70126.5832,-11053.873725,-39496.6279,-5995.538303,-30629.9554,-5058.335422,2017-03-01,456184.40280000004,0.7335165517521611,25.70353901457012,43.77041853810981
,2017-04-01,158552.0917,24579.014311,18316.0572,2839.386239,140236.0345,21739.628072,250511.0676,38834.650411,47710.9037,7396.225176,202800.1639,31438.425235,-91958.9758,-14255.6361,-29394.8465,-4556.838937,-62564.1293,-9698.797163,2017-04-01,409063.1593,0.6329145183843365,14.330729362678007,46.70817227032309
,2017-05-01,154278.2959,23947.03531,15693.2142,2435.896474,138585.0817,21511.138836,246610.0359,38278.742888,49831.3438,7734.807685,196778.6921,30543.935203,-92331.74,-14331.707578,-34138.1296,-5298.911211,-58193.6104,-9032.796367,2017-05-01,400888.3318,0.6255961779372176,2.9084326087500445,30.306480671109014
,2017-06-01,148300.429,23012.651391,14039.843,2178.64517,134260.586,20834.006221,238793.6961,37055.024664,49473.867,7677.151442,189319.8291,29377.873222,-90493.267,-14042.373273,-35434.0239,-5498.506272,-55059.2431,-8543.867001,2017-06-01,387094.1251,0.621039966389632,-2.73152726109791,14.770498823288714
,2017-07-01,143689.174,22292.633411,17193.6585,2667.507318,126495.5155,19625.126093,220536.1307,34215.041814,49576.8874,7691.598037,170959.2433,26523.443777,-76846.9567,-11922.408403,-32383.229,-5024.090719,-44463.7278,-6898.317684,2017-07-01,364225.3047,0.6515448219025092,-1.44001161792231,11.973682351618775
,2017-08-01,149398.8975,23355.109487,18538.1504,2898.016906,130860.747,20457.092581,230737.9615,36070.616348,49911.6757,7802.55183,180826.2858,28268.064518,-81339.064,-12715.506861,-31373.5252,-4904.534924,-49965.5387,-7810.971937,2017-08-01,380136.859,0.6474829565485261,3.3401569812897103,17.630760606560123
,2017-09-01,184088.9431,28567.096732,22367.1475,3470.955168,161721.7956,25096.141564,244634.8585,37962.669459,52642.3683,8169.09266,191992.4902,29793.576799,-60545.9153,-9395.572727,-30275.2208,-4698.137492,-30270.6946,-4697.435235,2017-09-01,428723.8016,0.7525049546444748,21.14658047736977,15.124426041979543
,2017-10-01,148962.6419,22888.701041,19807.0499,3043.431823,129155.592,19845.269218,244064.2013,37501.433058,60586.1026,9309.295088,183478.0987,28192.13797,-95101.5594,-14612.732017,-40779.0526,-6265.863265,-54322.5068,-8346.868752,2017-10-01,393026.8432,0.6103420374907723,-4.466256318761907,6.00112368898762
,2017-11-01,170541.0119,26292.657425,23370.1176,3603.018932,147170.8943,22689.638493,268467.5282,41390.189147,61933.9678,9548.486772,206533.5604,31841.702375,-97926.5163,-15097.531722,-38563.8502,-5945.46784,-59362.666,-9152.063882,2017-11-01,439008.5401,0.6352388798877465,25.675515261581026,18.639647206252018
2017.0,2017-12-01,178802.7659,27832.559814,23883.915,3717.786398,154918.8509,24114.773416,270015.443,42030.787058,66458.794,10345.020961,203556.649,31685.766097,-91212.6771,-14198.227244,-42574.8791,-6627.234563,-48637.7981,-7570.992681,2017-12-01,448818.2089,0.6621945912182511,9.46363307895448,14.923586757287488
,2018-01-01,161687.0059,25407.743953,25210.6875,3961.646064,136476.3185,21446.097889,259009.8812,40701.209668,74194.5179,11659.040249,184815.3633,29042.169419,-97322.8753,-15293.465715,-48983.8304,-7697.394185,-48339.0449,-7596.07153,2018-01-01,420696.8871,0.6242503380600755,6.231366546624129,17.92734818968431
,2018-02-01,167569.647,26030.721477,21349.6475,3316.51192,146219.9995,22714.209557,243791.7709,37871.272328,65635.2125,10195.951225,178156.5584,27675.321103,-76222.1239,-11840.550851,-44285.565,-6879.439305,-31936.5589,-4961.111546,2018-02-01,411361.4179,0.6873474292482774,1.0334359745649557,6.124184297655533
,2018-03-01,189647.8199,29167.029889,21404.8345,3291.972701,168242.9854,25875.057188,278298.7378,42801.16479,72288.4197,11117.65216,206010.3181,31683.51263,-88650.9179,-13634.134901,-50883.5852,-7825.679459,-37767.3327,-5808.455442,2018-03-01,467946.5577,0.6814541143779489,-1.75159767700247,5.754485542887755
